source_universe,Instrument,DSPLY_NAME,BID,ASK,MID_PRICE,TRDPRC_1,MATUR_DATE,EXPIR_DATE
0#GC:,/GCM26,100 GOLD JUN26/d,4448.1,4448.8,,4448.7,,2026-06-26
0#GC:,/GCN26,100 GOLD JUL26/d,4463.7,4464.5,,4462.1,,2026-07-29
0#GC:,/GCQ26,100 GOLD AUG26/d,4481.3,4481.9,,4481.5,,2026-08-27
0#GC:,/GCU26,100 GOLD SEP26/d,4496.7,4497.7,,,,2026-09-28
0#GC:,/GCV26,100 GOLD OCT26/d,4512.2,4513,,4511.2,,2026-10-28
0#GC:,/GCX26,100 GOLD NOV26/d,4528.4,4530.1,,,,2026-11-25
0#GC:,/GCZ26,100 GOLD DEC26/d,4545,4545.9,,4546,,2026-12-29
0#GC:,/GCF27,100 GOLD JAN27/d,4563.5,4566,,4575.8,,2027-01-27
0#GC:,/GCG27,100 GOLD FEB27/d,4579.7,4580.6,,4580.2,,2027-02-24
0#GC:,/GCH27,100 GOLD MAR27/d,4596.4,4598.9,,,,2027-03-29
0#GC:,/GCJ27,100 GOLD APR27/d,4613.3,4614,,,,2027-04-28
0#GC:,/GCK27,100 GOLD MAY27/d,4630.6,4632.6,,,,2027-05-26
0#GC:,/GCM27,100 GOLD JUN27/d,4647.6,4649.3,,,,2027-06-28
0#GC:,/GCN27,100 GOLD JUL27/d,4665.2,4668.9,,,,2027-07-28
0#GC:,/GCQ27,100 GOLD AUG27/d,4683.4,4685.4,,,,2027-08-27
0#GC:,/GCU27,100 GOLD SEP27/d,4700.3,4704.4,,,,2027-09-28
0#GC:,/GCV27,100 GOLD OCT27/d,4664,4957,,,,2027-10-27
0#GC:,/GCX27,100 GOLD NOV27/d,4679.8,4974.7,,,,2027-11-26
0#GC:,/GCZ27,100 GOLD DEC27/d,4754.8,4756.8,,,,2027-12-29
0#GC:,/GCF28,100 GOLD JAN28/d,4716,5010.2,,,,2028-01-27
0#GC:,/GCG28,100 GOLD FEB28/d,4790,4792.7,,,,2028-02-25
0#GC:,/GCH28,100 GOLD MAR28/d,4750.5,5245.2,,,,2028-03-29
0#GC:,/GCJ28,100 GOLD APR28/d,4824.1,4827.5,,,,2028-04-26
0#GC:,/GCK28,100 GOLD MAY28/d,4785.4,5279.7,,,,2028-05-26
0#GC:,/GCM28,100 GOLD JUN28/d,4857.6,4861.5,,,,2028-06-28
0#GC:,/GCN28,100 GOLD JUL28/d,,,,,,2028-07-27
0#GC:,/GCZ28,100 GOLD DEC28/d,4956.1,4962.2,,,,2028-12-27
0#GC:,/GCM29,100 GOLD JUN29/d,5054.7,5062.2,,,,2029-06-27
0#GC:,/GCZ29,100 GOLD DEC29/d,5154,5163.7,,,,2029-12-27
0#GC:,/GCM30,100 GOLD JUN30/d,,,,,,2030-06-26
0#GC:,/GCZ30,100 GOLD DEC30/d,,,,,,2030-12-27
0#GC:,/GCM31,100 GOLD JUN31/d,,,,,,2031-06-26
0#GC:,/GCZ31,100 GOLD DEC31/d,,,,,,2031-12-29
GCc1,GCc1,100 GOLD JUN26/d,4448.1,4448.8,,4448.7,,2026-06-26
