Date,RIC,fields_requested,High,Low,Bid,Ask,Mid
2020-01-02,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1531.2,1516.995,1528.85,1529.04,1528.945
2020-01-03,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1553.2,1527.7,1551.4027,1551.9027,1551.6527
2020-01-06,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1582.59,1560.49,1565.8586,1566.0586,1565.9586
2020-01-07,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1577.2849,1555.0,1573.8876,1574.0876,1573.9876
2020-01-08,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1610.9,1551.87,1555.71,1555.91,1555.81
2020-01-09,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1561.23,1539.78,1552.2688,1552.4688,1552.3688000000002
2020-01-10,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1562.9351,1545.07,1562.033,1562.533,1562.283
2020-01-13,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1562.05,1546.27,1548.0518,1548.5518,1548.3018
2020-01-14,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1548.55,1535.63,1546.1237,1546.6237,1546.3737
2020-01-15,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1557.985,1545.76,1555.9351,1556.4351,1556.1851
2020-01-16,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1557.89,1547.6,1552.54,1553.04,1552.79
2020-01-17,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1560.9133,1548.87,1556.2247,1556.9948,1556.60975
2020-01-20,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1562.51,1556.05,1561.28,1561.88,1561.58
2020-01-21,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1568.351,1545.96,1557.73,1558.3199,1558.02495
2020-01-22,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1559.05,1549.51,1558.62,1559.21,1558.915
2020-01-23,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1567.6357,1550.99,1563.025,1563.625,1563.325
2020-01-24,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1575.47,1555.87,1570.365,1570.9449,1570.65495
2020-01-27,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1586.425,1575.3,1581.65,1582.24,1581.9450000000002
2020-01-28,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1582.7828,1565.26,1565.86,1566.63,1566.245
2020-01-29,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1577.5552,1562.7,1576.7175,1577.5175,1577.1174999999998
2020-01-30,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1585.67,1572.2,1573.92,1574.51,1574.2150000000001
2020-01-31,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1589.8149,1570.45,1589.8149,1590.585,1590.1999500000002
2020-02-03,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1591.46,1570.86,1576.05,1576.85,1576.4499999999998
2020-02-04,XAU=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",1579.2449,1548.7,1552.26,1552.85,1552.5549999999998
