Date,RIC,fields_requested,Bid,Ask,Mid
2020-01-01,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.925,18.94,18.9325
2020-01-02,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.832,18.847,18.8395
2020-01-03,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.917,18.932,18.924500000000002
2020-01-06,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.837,18.852,18.8445
2020-01-07,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.898,18.913,18.9055
2020-01-08,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.808,18.823,18.8155
2020-01-09,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.832,18.848,18.84
2020-01-10,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.781,18.8,18.7905
2020-01-13,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.7931,18.8081,18.8006
2020-01-14,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.7753,18.7903,18.7828
2020-01-15,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.7831,18.7981,18.7906
2020-01-16,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.7722,18.7872,18.7797
2020-01-17,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.6549,18.6699,18.662399999999998
2020-01-20,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.6586,18.6692,18.663899999999998
2020-01-21,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.7625,18.783,18.772750000000002
2020-01-22,MXN=,"OPEN_PRC,HIGH_1,LOW_1,BID,ASK,TRDPRC_1,TRDVOL_1",18.6807,18.6963,18.6885
